date,state,district,pincode,age_0_5,age_5_17,age_18_greater,total_enrolments,year,anomaly
2025-01-04,Meghalaya,East Khasi Hills,793015,190,706,242,1138,2025,True
2025-01-04,Karnataka,Bengaluru,560077,218,38,41,297,2025,True
2025-01-04,Assam,Udalguri,784507,29,53,150,232,2025,True
2025-01-04,Uttar Pradesh,Bahraich,271824,68,58,11,137,2025,True
2025-01-04,Gujarat,Kheda,387001,112,18,26,156,2025,True
2025-01-04,Gujarat,Vadodara,390001,93,22,16,131,2025,True
2025-01-04,Assam,Kokrajhar,783350,65,64,15,144,2025,True
2025-01-04,Maharashtra,Palghar,401209,174,90,16,280,2025,True
2025-01-04,Bihar,Bhagalpur,853204,349,238,10,597,2025,True
2025-01-04,Gujarat,Surat,395004,464,167,38,669,2025,True
2025-01-04,Rajasthan,Jodhpur,342301,210,101,12,323,2025,True
2025-01-04,Delhi,Central Delhi,110003,80,41,12,133,2025,True
2025-01-04,Bihar,Gaya,824231,85,200,16,301,2025,True
2025-01-04,Meghalaya,East Khasi Hills,793121,301,972,290,1563,2025,True
2025-01-04,Assam,Lakhimpur,787031,202,52,34,288,2025,True
2025-01-04,Gujarat,Sabarkantha,383422,43,49,23,115,2025,True
2025-01-04,Nagaland,Dimapur,797112,249,454,80,783,2025,True
2025-01-04,Assam,Cachar,788005,65,44,17,126,2025,True
2025-01-04,Uttar Pradesh,Banda,210121,208,163,13,384,2025,True
2025-01-04,Assam,Lakhimpur,787055,123,58,20,201,2025,True
2025-01-04,Bihar,Patna,801505,60,212,10,282,2025,True
2025-01-04,Uttar Pradesh,Kheri,261505,375,408,11,794,2025,True
2025-01-04,Karnataka,Bengaluru,560029,102,23,17,142,2025,True
2025-01-04,Maharashtra,Thane,401107,292,182,10,484,2025,True
2025-01-04,Bihar,Muzaffarpur,843103,388,182,12,582,2025,True
2025-01-04,Gujarat,Rajkot,360370,140,21,13,174,2025,True
2025-01-04,Maharashtra,Satara,415523,192,26,18,236,2025,True
2025-01-04,Assam,Hojai,782442,116,34,15,165,2025,True
2025-01-04,Madhya Pradesh,Betul,460001,193,20,10,223,2025,True
2025-01-04,Assam,West Karbi Anglong,782486,44,219,21,284,2025,True
2025-01-04,Delhi,South Delhi,110017,151,35,12,198,2025,True
2025-01-04,Maharashtra,Raigad,410206,242,72,21,335,2025,True
2025-01-04,West Bengal,Uttar Dinajpur,733134,484,109,27,620,2025,True
2025-01-04,Madhya Pradesh,Guna,473101,110,32,11,153,2025,True
2025-01-04,Bihar,Kaimur (Bhabua),821106,146,199,12,357,2025,True
2025-01-04,Nagaland,Kohima,797005,51,80,12,143,2025,True
2025-01-04,Karnataka,Bengaluru,560103,67,24,37,128,2025,True
2025-01-04,Assam,Udalguri,784525,84,21,17,122,2025,True
2025-01-04,Gujarat,Gir Somnath,362275,103,19,27,149,2025,True
2025-01-04,Rajasthan,Dholpur,328022,222,95,10,327,2025,True
2025-01-04,Manipur,Churachandpur,795128,130,476,26,632,2025,True
2025-01-04,Bihar,West Champaran,845453,271,300,20,591,2025,True
2025-01-04,Gujarat,Morbi,363641,298,64,40,402,2025,True
2025-01-04,Maharashtra,Hingoli,431705,186,16,45,247,2025,True
2025-01-04,Rajasthan,Jalor,343040,98,88,11,197,2025,True
2025-01-04,Uttar Pradesh,Kanpur Nagar,208007,72,96,23,191,2025,True
2025-01-04,Assam,Hojai,782439,51,45,19,115,2025,True
2025-01-04,Gujarat,Bharuch,393001,138,50,23,211,2025,True
2025-01-04,Uttar Pradesh,Jaunpur,223104,111,133,10,254,2025,True
2025-01-04,Madhya Pradesh,Khargone,451001,166,37,12,215,2025,True
2025-01-04,Delhi,North West Delhi,110085,387,114,13,514,2025,True
2025-01-04,Karnataka,Bengaluru,560066,162,38,55,255,2025,True
2025-01-04,Assam,Dhubri,783330,205,65,13,283,2025,True
2025-01-04,Gujarat,Bhavnagar,364001,402,22,14,438,2025,True
2025-01-04,Maharashtra,Mumbai Suburban,400058,82,13,10,105,2025,True
2025-01-04,Assam,Hailakandi,788155,70,43,18,131,2025,True
2025-01-04,Assam,West Karbi Anglong,782485,39,94,13,146,2025,True
2025-01-04,Assam,South Salmara Mankachar,783135,102,43,12,157,2025,True
2025-01-04,Uttar Pradesh,Budaun,243601,480,267,13,760,2025,True
2025-01-04,Jharkhand,Ranchi,834002,99,130,11,240,2025,True
2025-01-04,Uttar Pradesh,Bahraich,271855,417,377,45,839,2025,True
2025-01-04,Assam,Golaghat,785601,165,146,23,334,2025,True
2025-01-04,Uttar Pradesh,Kanpur Dehat,209306,141,146,31,318,2025,True
2025-01-04,Maharashtra,Nanded,431604,149,42,12,203,2025,True
2025-01-04,Uttar Pradesh,Jaunpur,222001,373,360,28,761,2025,True
2025-01-04,Gujarat,Surat,395003,138,33,18,189,2025,True
2025-01-04,Bihar,Patna,800002,39,199,19,257,2025,True
2025-01-04,West Bengal,Darjeeling,734014,82,34,16,132,2025,True
2025-01-04,Gujarat,Porbandar,360575,205,28,24,257,2025,True
2025-01-04,Meghalaya,West Garo Hills,794105,145,176,62,383,2025,True
2025-01-04,Gujarat,Kachchh,370001,442,73,20,535,2025,True
2025-01-04,Punjab,Kapurthala,144401,138,37,51,226,2025,True
2025-01-04,Gujarat,Morbi,363621,250,41,89,380,2025,True
2025-01-04,Maharashtra,Thane,400607,84,22,22,128,2025,True
2025-01-04,Assam,Marigaon,782411,186,171,22,379,2025,True
2025-01-04,Meghalaya,South Garo Hills,794005,50,231,118,399,2025,True
2025-01-04,Rajasthan,Nagaur,341025,118,54,10,182,2025,True
2025-01-04,Assam,Bongaigaon,783380,74,29,27,130,2025,True
2025-01-04,Karnataka,Bengaluru,560076,193,50,36,279,2025,True
2025-01-04,Assam,Chirang,783375,52,88,94,234,2025,True
2025-01-04,Rajasthan,Sikar,332709,141,29,10,180,2025,True
2025-01-04,Karnataka,Mysuru,570019,456,19,10,485,2025,True
2025-01-04,Karnataka,Bengaluru,560049,183,25,15,223,2025,True
2025-01-04,Gujarat,Mahesana,384001,120,15,25,160,2025,True
2025-01-04,Rajasthan,Churu,331403,316,141,12,469,2025,True
2025-01-04,Karnataka,Bengaluru,560061,194,23,16,233,2025,True
2025-01-04,Madhya Pradesh,Guna,473001,523,88,20,631,2025,True
2025-01-04,Assam,Golaghat,785611,52,56,14,122,2025,True
2025-01-04,Assam,Kamrup,781380,86,17,14,117,2025,True
2025-01-04,Rajasthan,Jalor,343001,189,63,11,263,2025,True
2025-01-04,Telangana,Hyderabad,500059,160,22,10,192,2025,True
2025-01-04,Tamil Nadu,Kancheepuram,600100,148,56,10,214,2025,True
2025-01-04,Uttar Pradesh,Varanasi,221011,52,81,30,163,2025,True
2025-01-04,Jharkhand,Lohardaga,835302,187,104,17,308,2025,True
2025-01-04,Assam,Marigaon,782127,122,76,11,209,2025,True
2025-01-04,Assam,Udalguri,784514,68,38,12,118,2025,True
2025-01-04,Meghalaya,West Jaintia Hills,793150,382,792,375,1549,2025,True
2025-01-04,Rajasthan,Jalor,343041,278,251,13,542,2025,True
2025-01-04,Meghalaya,North Garo Hills,794110,19,119,44,182,2025,True
2025-01-04,Madhya Pradesh,Chhatarpur,471313,185,75,10,270,2025,True
2025-01-04,Gujarat,Gandhinagar,382305,113,12,14,139,2025,True
2025-01-04,Gujarat,Banaskantha,385320,91,59,94,244,2025,True
2025-01-04,Gujarat,Banaskantha,385545,75,83,61,219,2025,True
2025-01-04,West Bengal,Nadia,741502,204,33,11,248,2025,True
2025-01-04,Assam,Cachar,788030,110,51,41,202,2025,True
2025-01-04,Assam,Tinsukia,786174,34,50,20,104,2025,True
2025-01-04,Bihar,Purnia,854304,517,276,21,814,2025,True
2025-01-04,Uttar Pradesh,Saharanpur,247341,363,97,10,470,2025,True
2025-01-04,Haryana,Gurgaon,122002,68,47,14,129,2025,True
2025-01-04,Assam,Charaideo,785690,26,18,60,104,2025,True
2025-01-04,Gujarat,Vadodara,390019,176,82,39,297,2025,True
2025-01-04,Rajasthan,Jaipur,302012,781,198,21,1000,2025,True
2025-01-04,Bihar,Saran,841311,143,174,10,327,2025,True
2025-01-04,Madhya Pradesh,Morena,476221,122,63,13,198,2025,True
2025-01-04,Meghalaya,East Khasi Hills,793113,50,239,78,367,2025,True
2025-01-04,Maharashtra,Nagpur,440027,81,14,10,105,2025,True
2025-01-04,Telangana,Hyderabad,500013,92,10,12,114,2025,True
2025-01-04,Gujarat,Dahod,389151,289,237,18,544,2025,True
2025-01-04,Meghalaya,West Garo Hills,794002,134,344,199,677,2025,True
2025-01-04,Bihar,East Champaran,845315,70,164,12,246,2025,True
2025-01-04,Bihar,East Champaran,845303,130,466,23,619,2025,True
2025-01-04,Bihar,Sitamarhi,843324,627,378,162,1167,2025,True
2025-01-04,Rajasthan,Dholpur,328001,236,108,16,360,2025,True
2025-01-04,Uttar Pradesh,Baghpat,250611,311,224,18,553,2025,True
2025-01-04,Uttar Pradesh,Fatehpur,212635,166,136,10,312,2025,True
2025-01-04,Meghalaya,South West Khasi Hills,793119,44,111,38,193,2025,True
2025-01-04,Chhattisgarh,Bijapur,494447,83,66,66,215,2025,True
2025-01-04,Assam,Jorhat,785635,42,36,39,117,2025,True
2025-01-04,Uttar Pradesh,Bahraich,271903,87,146,24,257,2025,True
2025-01-04,Karnataka,Yadgir,585290,242,45,11,298,2025,True
2025-01-04,Uttar Pradesh,Lucknow,226021,165,114,11,290,2025,True
2025-01-04,Gujarat,Rajkot,360002,279,65,43,387,2025,True
2025-01-04,Jharkhand,Deoghar,815353,371,342,10,723,2025,True
2025-01-04,Gujarat,Panchmahals,389001,182,54,59,295,2025,True
2025-01-04,Maharashtra,Nandurbar,425412,237,35,10,282,2025,True
2025-01-04,Assam,Golaghat,785603,117,29,12,158,2025,True
2025-01-04,Meghalaya,West Garo Hills,794101,38,102,41,181,2025,True
2025-01-04,Rajasthan,Jodhpur,342303,164,37,10,211,2025,True
2025-01-04,Assam,Sonitpur,784110,91,100,36,227,2025,True
2025-01-04,Assam,Nagaon,782136,50,36,14,100,2025,True
2025-01-04,Bihar,Gaya,823001,134,420,12,566,2025,True
2025-01-04,Uttar Pradesh,Etawah,206001,348,226,16,590,2025,True
2025-01-04,Karnataka,Bengaluru,560048,98,27,19,144,2025,True
2025-01-04,Uttar Pradesh,Kanpur Nagar,209402,69,61,20,150,2025,True
2025-01-04,West Bengal,Jalpaiguri,735132,72,17,10,99,2025,True
2025-01-04,Madhya Pradesh,Jabalpur,482003,125,23,11,159,2025,True
2025-01-04,Uttar Pradesh,Shamli,247776,374,151,12,537,2025,True
2025-01-04,Assam,Sibsagar,785685,60,20,164,244,2025,True
2025-01-04,Delhi,West Delhi,110059,974,344,151,1469,2025,True
2025-01-04,Madhya Pradesh,Barwani,451551,497,313,10,820,2025,True
2025-01-04,Uttar Pradesh,Lucknow,226016,161,185,15,361,2025,True
2025-01-04,Assam,Baksa,781360,84,192,73,349,2025,True
2025-01-04,Meghalaya,South Garo Hills,794107,38,46,26,110,2025,True
2025-01-04,Uttar Pradesh,Gorakhpur,273001,68,180,23,271,2025,True
2025-01-04,Gujarat,Botad,364710,291,21,20,332,2025,True
2025-01-04,Gujarat,Junagadh,362001,250,27,12,289,2025,True
2025-01-04,Assam,Sibsagar,785686,31,16,55,102,2025,True
2025-01-04,Uttar Pradesh,Balrampur,271208,123,201,10,334,2025,True
2025-01-04,Uttar Pradesh,Varanasi,221002,147,175,10,332,2025,True
2025-01-04,Madhya Pradesh,Morena,476115,155,87,25,267,2025,True
2025-01-04,Uttar Pradesh,Bara Banki,225301,172,72,10,254,2025,True
2025-01-04,Assam,Cachar,788002,69,31,19,119,2025,True
2025-01-04,Madhya Pradesh,Shivpuri,473880,64,48,13,125,2025,True
2025-01-04,Uttarakhand,Nainital,263139,488,66,48,602,2025,True
2025-01-04,Maharashtra,Beed,431122,379,52,19,450,2025,True
2025-01-04,Rajasthan,Jaipur,302001,128,39,13,180,2025,True
2025-01-04,Gujarat,Sabarkantha,383255,82,27,12,121,2025,True
2025-01-04,Uttar Pradesh,Shahjahanpur,242001,725,385,17,1127,2025,True
2025-01-04,Karnataka,Bengaluru,560064,325,45,40,410,2025,True
2025-01-04,Gujarat,Jamnagar,361006,125,24,16,165,2025,True
2025-01-04,Maharashtra,Chandrapur,442401,193,18,10,221,2025,True
2025-01-04,Chhattisgarh,Durg,491001,336,38,10,384,2025,True
2025-01-04,Karnataka,Yadgir,585202,294,44,10,348,2025,True
2025-01-04,Madhya Pradesh,Morena,476001,479,160,25,664,2025,True
2025-01-04,Rajasthan,Sirohi,307026,279,148,47,474,2025,True
2025-01-04,Uttar Pradesh,Saharanpur,247001,1136,436,19,1591,2025,True
2025-01-04,Uttar Pradesh,Kanpur Nagar,209401,43,70,23,136,2025,True
2025-01-04,Gujarat,Surat,395005,119,20,22,161,2025,True
2025-01-04,Rajasthan,Dholpur,328021,290,98,13,401,2025,True
2025-01-04,Uttar Pradesh,Gonda,271311,61,45,12,118,2025,True
2025-01-04,Gujarat,Rajkot,360055,125,19,13,157,2025,True
2025-01-04,Assam,Nagaon,782124,331,125,12,468,2025,True
2025-01-04,Meghalaya,East Jaintia Hills,793160,234,255,86,575,2025,True
2025-01-04,Uttar Pradesh,Bareilly,243201,1264,288,11,1563,2025,True
2025-01-04,Gujarat,Morbi,363650,89,10,12,111,2025,True
2025-01-04,Rajasthan,Bundi,323022,60,36,14,110,2025,True
2025-01-04,Maharashtra,Solapur,413304,278,38,21,337,2025,True
2025-01-04,Assam,Dhubri,783334,212,102,11,325,2025,True
2025-01-04,Assam,Dhubri,783337,56,46,10,112,2025,True
2025-01-04,Uttar Pradesh,Sitapur,261201,568,282,14,864,2025,True
2025-01-04,Gujarat,Kachchh,370165,70,126,16,212,2025,True
2025-01-04,Bihar,Bhagalpur,812005,329,296,16,641,2025,True
2025-01-04,Delhi,South West Delhi,110045,314,95,22,431,2025,True
2025-01-04,Uttar Pradesh,Gorakhpur,273015,102,188,10,300,2025,True
2025-01-04,Uttar Pradesh,Bulandshahr,203001,377,295,32,704,2025,True
2025-01-04,Bihar,Patna,800001,75,265,74,414,2025,True
2025-01-04,Meghalaya,West Jaintia Hills,793161,30,96,32,158,2025,True
2025-01-04,Uttar Pradesh,Kanpur Nagar,208021,174,169,11,354,2025,True
2025-01-04,Punjab,Ludhiana,141010,144,77,23,244,2025,True
2025-01-04,Bihar,Gaya,824233,63,317,13,393,2025,True
2025-01-04,Gujarat,Patan,384245,96,14,21,131,2025,True
2025-01-04,Madhya Pradesh,Chhatarpur,471405,178,103,10,291,2025,True
2025-01-04,Assam,Cachar,788116,78,35,33,146,2025,True
2025-01-04,Karnataka,Bengaluru,560087,131,28,34,193,2025,True
2025-01-04,Madhya Pradesh,Ashok Nagar,473446,76,53,13,142,2025,True
2025-01-04,Uttar Pradesh,Sultanpur,228001,262,195,23,480,2025,True
2025-01-04,Gujarat,Dahod,389140,57,45,29,131,2025,True
2025-01-04,Assam,Karbi Anglong,782480,126,338,134,598,2025,True
2025-01-04,Uttar Pradesh,Shahjahanpur,242221,469,248,30,747,2025,True
2025-01-04,Haryana,Faridabad,121004,1047,215,15,1277,2025,True
2025-01-04,Rajasthan,Bikaner,334001,552,261,16,829,2025,True
2025-01-04,Delhi,South West Delhi,110037,126,65,11,202,2025,True
2025-01-04,Nagaland,Phek,797108,83,112,11,206,2025,True
2025-01-04,Gujarat,Banaskantha,385575,83,50,67,200,2025,True
2025-01-04,Madhya Pradesh,Raisen,464886,119,44,10,173,2025,True
2025-01-04,Uttar Pradesh,Shrawasti,271831,207,307,11,525,2025,True
2025-01-04,Gujarat,Kheda,387620,109,29,63,201,2025,True
2025-01-04,Delhi,East Delhi,110092,676,221,15,912,2025,True
2025-01-04,Uttar Pradesh,Lucknow,226020,180,174,12,366,2025,True
2025-01-04,Bihar,Sitamarhi,843330,166,117,182,465,2025,True
2025-01-04,Madhya Pradesh,Katni,483770,236,24,10,270,2025,True
2025-01-04,Madhya Pradesh,Jhabua,457661,247,212,29,488,2025,True
2025-01-04,Uttar Pradesh,Kheri,262907,70,58,10,138,2025,True
2025-01-04,Gujarat,Banaskantha,385110,101,186,52,339,2025,True
2025-01-04,Delhi,North West Delhi,110034,295,101,13,409,2025,True
2025-01-04,Madhya Pradesh,Indore,452002,217,38,10,265,2025,True
2025-01-04,Bihar,Madhubani,847232,143,111,17,271,2025,True
2025-01-04,Madhya Pradesh,Chhatarpur,471625,105,39,10,154,2025,True
2025-01-04,Meghalaya,West Khasi Hills,793120,323,858,487,1668,2025,True
2025-01-04,Uttar Pradesh,Sitapur,261203,456,194,20,670,2025,True
2025-01-04,Madhya Pradesh,Bhopal,462003,138,24,10,172,2025,True
2025-01-04,Bihar,Muzaffarpur,842002,219,228,18,465,2025,True
2025-01-04,Assam,Udalguri,784509,128,112,45,285,2025,True
2025-01-04,Gujarat,Surat,394230,66,25,25,116,2025,True
2025-01-04,Gujarat,Banaskantha,385001,204,64,75,343,2025,True
2025-01-04,Punjab,Ludhiana,142026,102,17,12,131,2025,True
2025-01-04,Punjab,Amritsar,143110,71,23,14,108,2025,True
2025-01-04,Maharashtra,Mumbai Suburban,400070,135,34,22,191,2025,True
2025-01-04,Rajasthan,Dungarpur,314030,66,83,13,162,2025,True
2025-01-04,Uttar Pradesh,Gautam Buddha Nagar,201306,222,223,15,460,2025,True
2025-01-04,Gujarat,Panchmahals,389115,111,11,20,142,2025,True
2025-01-04,Uttar Pradesh,Aligarh,202001,1066,643,58,1767,2025,True
2025-01-04,Meghalaya,South Garo Hills,794103,29,147,97,273,2025,True
2025-01-04,Bihar,Patna,800014,29,74,33,136,2025,True
2025-01-04,Telangana,K.v. Rangareddy,500005,132,11,15,158,2025,True
2025-01-04,Uttar Pradesh,Chandauli,232101,195,192,41,428,2025,True
2025-01-04,Bihar,Gaya,824232,155,434,13,602,2025,True
2025-01-04,Maharashtra,Solapur,413401,179,18,11,208,2025,True
2025-01-04,Uttar Pradesh,Maharajganj,273164,385,306,33,724,2025,True
2025-01-04,Chhattisgarh,Bijapur,494444,314,69,60,443,2025,True
2025-01-04,Meghalaya,West Garo Hills,794103,198,347,137,682,2025,True
2025-01-04,Uttar Pradesh,Agra,283201,138,64,16,218,2025,True
2025-01-04,Rajasthan,Bharatpur,321204,240,37,10,287,2025,True
2025-01-04,Madhya Pradesh,Gwalior,475110,313,172,46,531,2025,True
2025-01-04,Uttar Pradesh,Mainpuri,205261,78,45,11,134,2025,True
2025-01-04,Assam,Lakhimpur,784160,43,76,18,137,2025,True
2025-01-04,Maharashtra,Thane,421306,220,98,11,329,2025,True
2025-01-04,Assam,Jorhat,785001,50,31,21,102,2025,True
2025-01-04,Bihar,East Champaran,845433,190,206,20,416,2025,True
2025-01-04,Jharkhand,Godda,814153,79,46,11,136,2025,True
2025-01-04,Assam,Kokrajhar,783370,236,174,10,420,2025,True
2025-01-04,Meghalaya,East Khasi Hills,793004,50,76,17,143,2025,True
2025-01-04,Meghalaya,Ri Bhoi,781131,22,152,17,191,2025,True
2025-01-04,Uttar Pradesh,Muzaffarnagar,251002,251,115,13,379,2025,True
2025-01-04,Uttar Pradesh,Siddharthnagar,272153,333,423,17,773,2025,True
2025-01-04,Delhi,West Delhi,110018,275,96,32,403,2025,True
2025-01-04,West Bengal,Uttar Dinajpur,733129,333,106,59,498,2025,True
2025-01-04,Uttar Pradesh,Bareilly,243001,545,273,29,847,2025,True
2025-01-04,Assam,Golaghat,785702,86,73,36,195,2025,True
2025-01-04,Assam,Hojai,782446,317,86,25,428,2025,True
2025-01-04,Maharashtra,Thane,400612,398,163,29,590,2025,True
2025-01-04,Madhya Pradesh,Datia,475661,237,55,10,302,2025,True
2025-01-04,Bihar,Madhubani,847108,155,239,25,419,2025,True
2025-01-04,Tripura,West Tripura,799045,78,34,13,125,2025,True
2025-01-04,Assam,Cachar,788114,80,34,25,139,2025,True
2025-01-04,Telangana,Medchal-malkajgiri,500072,76,25,15,116,2025,True
2025-01-04,Assam,Darrang,784514,56,32,26,114,2025,True
2025-01-04,Gujarat,Patan,385360,79,30,32,141,2025,True
2025-01-04,Madhya Pradesh,Katni,483332,117,16,10,143,2025,True
2025-01-04,Meghalaya,West Jaintia Hills,793109,86,167,29,282,2025,True
2025-01-04,Gujarat,Patan,384151,120,19,41,180,2025,True
2025-01-04,Meghalaya,East Khasi Hills,793110,168,538,175,881,2025,True
2025-01-04,Madhya Pradesh,Sagar,470001,183,26,12,221,2025,True
2025-01-04,Assam,Barpeta,781313,75,37,12,124,2025,True
2025-01-04,Assam,Sibsagar,785640,77,30,45,152,2025,True
2025-01-04,Assam,Marigaon,782121,97,64,13,174,2025,True
2025-01-04,Karnataka,Bengaluru,560092,74,13,14,101,2025,True
2025-01-04,Madhya Pradesh,Sheopur,476337,172,125,13,310,2025,True
2025-01-04,Uttar Pradesh,Sitapur,261208,240,144,14,398,2025,True
2025-01-04,Assam,Dibrugarh,786001,40,35,34,109,2025,True
2025-01-04,Gujarat,Dahod,389152,65,79,55,199,2025,True
2025-01-04,Gujarat,Arvalli,383315,76,14,19,109,2025,True
2025-01-04,Uttar Pradesh,Kheri,262903,78,82,10,170,2025,True
2025-01-04,Gujarat,Panchmahals,389365,69,30,21,120,2025,True
2025-01-04,West Bengal,Malda,732124,306,80,10,396,2025,True
2025-01-04,Gujarat,Amreli,365560,125,11,28,164,2025,True
2025-01-04,Meghalaya,West Garo Hills,794109,156,126,62,344,2025,True
2025-01-04,Nagaland,Phek,797107,74,156,11,241,2025,True
2025-01-04,Meghalaya,South Garo Hills,794102,58,288,82,428,2025,True
2025-01-04,Assam,Baksa,781367,94,121,31,246,2025,True
2025-01-04,Rajasthan,Alwar,301405,138,37,13,188,2025,True
2025-01-04,Assam,Cachar,788120,123,35,18,176,2025,True
2025-01-04,Maharashtra,Hingoli,431701,133,11,20,164,2025,True
2025-01-04,Rajasthan,Jaipur,303012,144,37,11,192,2025,True
2025-01-04,Bihar,East Champaran,845415,148,193,12,353,2025,True
2025-01-04,Uttar Pradesh,Kanpur Dehat,209204,81,58,23,162,2025,True
2025-01-04,Uttar Pradesh,Ambedkar Nagar,224122,159,143,10,312,2025,True
2025-01-04,Gujarat,Gir Somnath,362720,190,21,33,244,2025,True
2025-01-04,Gujarat,Gir Somnath,362150,149,24,17,190,2025,True
2025-01-04,Gujarat,Gir Somnath,362510,157,31,11,199,2025,True
